name,group,rule_order,node_count,max_classes,down_cost,up_cost,cost_change_frac,down_classes,up_classes,class_change_frac,down_live,up_live,down_apps,up_apps,down_iters,up_iters,down_unions,up_unions,down_stop,up_stop,down_cap,up_cap,up_enqueues,up_edges,down_ms,up_ms
glyph16:U+003C,glyph16,production,295,5000,514,557,0.083658,2697,2525,-0.063775,420,397,7887,7300,3,3,2261,2090,ClassCap,ClassCap,true,true,11850,3199,30.841,28.975
glyph16:U+003D,glyph16,production,183,5000,231,252,0.090909,1514,1407,-0.070674,172,172,21429,18518,7,7,1334,1213,Quiesced,Quiesced,false,false,6636,1500,48.676,41.087
glyph16:U+003E,glyph16,production,295,5000,519,551,0.061657,2711,2538,-0.063814,421,398,7897,7302,3,3,2274,2101,ClassCap,ClassCap,true,true,12153,3215,32.200,29.067
glyph16:U+003F,glyph16,production,6716,5000,12176,12176,0.000000,5000,5000,0.000000,3176,3176,2009,2009,1,1,1824,1824,ClassCap,ClassCap,true,true,8770,7556,16.147,18.156
glyph16:U+0040,glyph16,production,12056,5000,23527,23527,0.000000,5226,5226,0.000000,5226,5226,0,0,0,0,0,0,ClassCap,ClassCap,true,true,0,9757,1.734,1.707
glyph16:U+0041,glyph16,production,1605,5000,2672,2672,0.000000,4509,4540,0.006875,1340,1380,6637,6489,2,2,3140,3124,ClassCap,ClassCap,true,true,17139,6539,22.630,28.219
glyph16:U+0042,glyph16,production,4470,5000,7970,7962,-0.001004,4975,4972,-0.000603,2650,2690,2973,3007,1,1,2267,2282,ClassCap,ClassCap,true,true,9461,8153,15.022,17.591
glyph16:U+0043,glyph16,production,5129,5000,9459,9292,-0.017655,4996,4995,-0.000200,2830,2848,2718,2852,1,1,2110,2147,ClassCap,ClassCap,true,true,9274,7891,15.536,18.009
glyph16:U+0044,glyph16,production,2606,5000,4506,4506,0.000000,4367,4364,-0.000687,1933,1953,3265,3205,1,1,2389,2411,ClassCap,ClassCap,true,true,8397,7660,11.828,14.418
glyph16:U+0045,glyph16,production,247,5000,335,374,0.116418,2780,2633,-0.052878,370,371,12806,11725,4,4,2396,2216,ClassCap,ClassCap,true,true,25803,3013,57.317,58.927
glyph16:U+0046,glyph16,production,215,5000,285,324,0.136842,2535,3614,0.425641,331,497,11996,18176,4,5,2190,3062,ClassCap,ClassCap,true,true,60414,4015,53.751,149.083
glyph16:U+0047,glyph16,production,4563,5000,8262,8262,0.000000,4983,4979,-0.000803,2695,2730,2915,2948,1,1,2234,2249,ClassCap,ClassCap,true,true,9271,8087,15.096,17.661
