kernel,family,class_cap,inserted_classes,classes_at_stop,live_classes,applications,stop,objective,dag_cost,tree_cost,extraction_objective,canonical_objective,canonical_dag_cost,tied_classes,seconds
glyph16_U002E,glyph16,5000,70,3542,43,18244,ClassCap,18255,120,22772,TreeCheaper,18255,120,17,0.192
glyph16_U002F,glyph16,10000,84,7891,64,37598,ClassCap,20244,189,23524,TreeCheaper,20164,184,24,0.696
glyph16_U002F,glyph16,20000,84,15406,64,72555,ClassCap,20244,189,23524,TreeCheaper,20164,184,24,2.659
glyph16_U002F,glyph16,5000,84,2981,69,11709,ClassCap,20282,227,23638,TreeCheaper,20202,222,24,0.087
glyph16_U0030,glyph16,10000,2514,9924,2447,6851,ClassCap,525302,11147,2522374,Shared,531105,11505,689,0.032
glyph16_U0030,glyph16,20000,2514,19627,2069,23013,ClassCap,512992,9292,1253472,Shared,511072,9247,671,0.757
glyph16_U0030,glyph16,5000,2514,5000,2407,2286,ClassCap,573135,10950,2254630,Shared,573199,10954,1386,0.019
glyph16_U0031,glyph16,10000,157,5255,122,22547,ClassCap,48722,407,58962,TreeCheaper,48722,407,47,0.322
glyph16_U0031,glyph16,20000,157,14670,116,75769,ClassCap,48674,359,58838,TreeCheaper,48674,359,48,6.416
glyph16_U0031,glyph16,5000,157,3104,133,9593,ClassCap,48820,445,59224,TreeCheaper,48820,445,50,0.084
glyph16_U0032,glyph16,10000,1773,9763,1517,7766,ClassCap,358691,6851,938997,Shared,360670,6970,349,0.027
glyph16_U0032,glyph16,20000,1773,19197,1464,24530,ClassCap,357436,6421,756322,TreeCheaper,354353,6308,616,0.304
glyph16_U0032,glyph16,5000,1773,4992,1727,3048,ClassCap,379663,7678,1482936,Shared,381519,7794,755,0.017
glyph16_U0033,glyph16,10000,2659,9917,2601,6721,ClassCap,551042,11702,2668211,Shared,557090,12080,731,0.032
glyph16_U0033,glyph16,20000,2659,19726,2206,22175,ClassCap,539804,9704,1308546,Shared,537724,9649,678,0.708
glyph16_U0033,glyph16,5000,2659,5000,2548,2247,ClassCap,603358,11458,2337480,Shared,603358,11458,1460,0.019
glyph16_U0034,glyph16,10000,167,5176,119,22555,ClassCap,46973,398,65292,TreeCheaper,46973,398,44,0.306
glyph16_U0034,glyph16,20000,167,14760,113,75123,ClassCap,46925,350,65168,TreeCheaper,46925,350,45,6.061
glyph16_U0034,glyph16,5000,167,3051,129,9777,ClassCap,47067,432,65571,TreeCheaper,47067,432,46,0.082
glyph16_U0035,glyph16,10000,1828,9757,1572,7793,ClassCap,377742,7092,987412,Shared,381657,7332,406,0.028
glyph16_U0035,glyph16,20000,1828,18891,1508,26068,ClassCap,374973,6573,890106,Shared,372205,6475,585,0.465
glyph16_U0035,glyph16,5000,1828,4993,1759,3018,ClassCap,401941,7831,1519071,Shared,404133,7968,820,0.017
glyph16_U0036,glyph16,10000,2644,9936,2570,6721,ClassCap,537806,11606,2532966,Shared,543774,11979,732,0.033
glyph16_U0036,glyph16,20000,2644,19717,2192,22304,ClassCap,523894,9649,1264886,Shared,521494,9574,673,0.831
glyph16_U0036,glyph16,5000,2644,5000,2527,2258,ClassCap,585706,11401,2261296,Shared,585706,11401,1444,0.018
glyph16_U0037,glyph16,10000,117,7128,90,31862,ClassCap,32155,280,37312,TreeCheaper,32155,280,36,0.788
glyph16_U0037,glyph16,20000,117,14266,87,63823,ClassCap,32147,272,37288,TreeCheaper,32147,272,34,5.383
glyph16_U0037,glyph16,5000,117,3533,97,15234,ClassCap,32205,330,37422,TreeCheaper,32205,330,38,0.168
glyph16_U0038,glyph16,10000,3405,9974,3306,6362,ClassCap,728267,15002,2924314,Shared,733446,15321,1421,0.037
glyph16_U0038,glyph16,20000,3405,19478,2897,15934,ClassCap,688783,13393,1823896,Shared,693528,13638,681,0.058
glyph16_U0038,glyph16,5000,3405,5000,3325,1508,ClassCap,3750749,14789,48888928,TreeCheaper,3750749,14789,1004,0.019
glyph16_U0039,glyph16,10000,2666,9921,2600,6752,ClassCap,540668,11738,2647621,Shared,547597,12157,737,0.034
glyph16_U0039,glyph16,20000,2666,19746,2202,22174,ClassCap,525942,9702,1285206,Shared,523782,9642,656,0.849
glyph16_U0039,glyph16,5000,2666,5000,2547,2264,ClassCap,588458,11498,2308416,Shared,588458,11498,1463,0.019
glyph16_U003A,glyph16,10000,97,8279,52,40061,ClassCap,22463,143,36712,TreeCheaper,22463,143,19,1.955
glyph16_U003A,glyph16,20000,97,13102,52,54625,ClassCap,22463,143,36712,TreeCheaper,22463,143,19,3.771
glyph16_U003A,glyph16,5000,97,2762,52,12594,ClassCap,22463,143,36712,TreeCheaper,22463,143,18,0.105
glyph16_U003B,glyph16,10000,143,3722,107,49487,Quiesced,42765,330,51580,TreeCheaper,42829,334,45,0.537
glyph16_U003B,glyph16,20000,143,3722,107,49487,Quiesced,42765,330,51580,TreeCheaper,42829,334,45,0.533
glyph16_U003B,glyph16,5000,143,2710,123,8699,ClassCap,42848,413,51802,TreeCheaper,42848,413,45,0.049
glyph16_U003C,glyph16,10000,178,4645,142,31303,ClassCap,49347,462,61808,TreeCheaper,49539,474,59,0.263
glyph16_U003C,glyph16,20000,178,5722,138,58193,Quiesced,49335,450,61760,TreeCheaper,49527,462,56,1.306
glyph16_U003C,glyph16,5000,178,3095,157,9174,ClassCap,49696,571,62191,TreeCheaper,49696,571,57,0.061
glyph16_U003D,glyph16,10000,97,7608,55,27694,ClassCap,23503,148,41010,TreeCheaper,23503,148,21,0.467
glyph16_U003D,glyph16,20000,97,15129,55,66226,ClassCap,23503,148,41010,TreeCheaper,23503,148,21,2.951
