name,category,node_count,cap,stop,hit_cap,allocated,live,nodes,memo,ratio,extracted_cost
glyph16:U+0049,glyph,391,5000,ClassCap,true,3418,565,3418,3722,6.0496,626
glyph16:U+004A,glyph,2425,5000,ClassCap,true,4282,1868,4282,4302,2.2923,4339
glyph16:U+004B,glyph,617,5000,ClassCap,true,4578,925,4578,4827,4.9492,1047
glyph16:U+004C,glyph,151,5000,ClassCap,true,3361,422,3361,3562,7.9645,185
glyph16:U+004D,glyph,2345,5000,ClassCap,true,4914,1703,4914,5235,2.8855,4133
glyph16:U+004E,glyph,1399,5000,ClassCap,true,4653,1325,4653,4909,3.5117,2457
glyph16:U+004F,glyph,5945,5000,ClassCap,true,5000,3006,5000,5077,1.6633,10769
glyph16:U+0050,glyph,2409,5000,ClassCap,true,4880,1714,4880,5106,2.8471,3990
glyph16:U+0051,glyph,6053,5000,ClassCap,true,5000,3029,5000,5059,1.6507,10749
glyph16:U+0052,glyph,2710,5000,ClassCap,true,4509,2000,4509,4527,2.2545,4725
glyph16:U+0053,glyph,7616,5000,ClassCap,true,5000,3414,5000,5080,1.4646,14066
glyph16:U+0054,glyph,183,5000,ClassCap,true,3521,468,3521,3720,7.5235,227
glyph16:U+0055,glyph,2899,5000,ClassCap,true,4686,2079,4686,4700,2.2540,5170
glyph16:U+0056,glyph,1573,5000,ClassCap,true,4614,1319,4614,4827,3.4981,2647
glyph16:U+0057,glyph,7232,5000,ClassCap,true,5000,3271,5000,5109,1.5286,13499
glyph16:U+0058,glyph,343,5000,ClassCap,true,3607,628,3607,3937,5.7436,652
glyph16:U+0059,glyph,263,5000,ClassCap,true,2684,412,2684,2942,6.5146,437
glyph16:U+005A,glyph,255,5000,ClassCap,true,3358,459,3358,3603,7.3159,393
glyph16:U+005B,glyph,183,5000,Quiesced,false,1519,175,1519,1677,8.6800,234
glyph16:U+005C,glyph,127,5000,ClassCap,true,3444,447,3443,3635,7.7047,166
glyph16:U+005D,glyph,183,5000,Quiesced,false,1517,177,1517,1675,8.5706,244
glyph16:U+005E,glyph,199,5000,ClassCap,true,2891,420,2891,3116,6.8833,319
glyph16:U+005F,glyph,119,5000,ClassCap,true,2994,321,2994,3172,9.3271,129
glyph16:U+0060,glyph,1722,5000,ClassCap,true,4689,1342,4689,4902,3.4940,2827
glyph16:U+0061,glyph,5743,5000,ClassCap,true,5000,3007,5000,5059,1.6628,10612
glyph16:U+0062,glyph,5129,5000,ClassCap,true,4995,2824,4995,5043,1.7688,9434
glyph16:U+0063,glyph,4671,5000,ClassCap,true,4984,2700,4984,5027,1.8459,8419
glyph16:U+0064,glyph,5864,5000,ClassCap,true,5000,3022,5000,5064,1.6545,10763
glyph16:U+0065,glyph,4872,5000,ClassCap,true,4989,2751,4989,5034,1.8135,8766
glyph16:U+0066,glyph,2364,5000,ClassCap,true,4880,1682,4880,5126,2.9013,3955
glyph16:U+0067,glyph,7009,5000,ClassCap,true,5000,3208,5000,5073,1.5586,12799
glyph16:U+0068,glyph,2931,5000,ClassCap,true,4717,2082,4717,4741,2.2656,5045
glyph16:U+0069,glyph,2123,5000,ClassCap,true,4727,1455,4727,4988,3.2488,3510
glyph16:U+006A,glyph,4293,5000,ClassCap,true,4971,2597,4971,5001,1.9141,7523
glyph16:U+006B,glyph,1460,5000,ClassCap,true,4460,1306,4460,4687,3.4150,2517
glyph16:U+006C,glyph,323,5000,ClassCap,true,3007,467,3007,3282,6.4390,522
glyph16:U+006D,glyph,5289,5000,ClassCap,true,4998,2856,4998,5062,1.7500,9624
glyph16:U+006E,glyph,2264,5000,ClassCap,true,4826,1631,4826,5051,2.9589,3759
glyph16:U+006F,glyph,5716,5000,ClassCap,true,5000,2947,5000,5055,1.6966,10262
glyph16:U+0070,glyph,5406,5000,ClassCap,true,4999,2901,4999,5057,1.7232,9922
