extractor,family,kernel,extent,cap,app_cap,input_nodes,inserted_classes,classes_after,live_classes,objective,scale,claimed,tree_cost,dag_cost,signed_error,error_frac,repaired_picks,sentinel_classes,arena_nodes,arena_dag_unweighted,sharing_ratio
dfs-post-order,shader,shader_kaleidoscope_fold,256x256,50000,2000000,46,43,131,57,tree_cheaper,tree,107906368,107906368,34933520,0,0.000000,0,0,40,560,3.089
cost-order-settling,shader,shader_mandelbrot_distance,256x256,5000,200000,152,128,3675,415,shared,dag,32445952,32339909632,32445952,0,0.000000,,,96,517,996.732
dfs-post-order,shader,shader_mandelbrot_distance,256x256,5000,200000,152,128,3675,415,shared,dag,33555968,33280416768,32707328,848640,0.025946,1,81,96,518,1017.522
cost-order-settling,shader,shader_mandelbrot_distance,256x256,20000,800000,152,128,6287,237,shared,dag,32445952,32339909632,32445952,0,0.000000,,,96,517,996.732
dfs-post-order,shader,shader_mandelbrot_distance,256x256,20000,800000,152,128,6287,237,tree_cheaper,tree,18446744073709551615,34927197696,37492480,18446744038782353919,528148413.146095,200,200,115,595,931.579
cost-order-settling,shader,shader_mandelbrot_distance,256x256,50000,2000000,152,128,6287,237,shared,dag,32445952,32339909632,32445952,0,0.000000,,,96,517,996.732
dfs-post-order,shader,shader_mandelbrot_distance,256x256,50000,2000000,152,128,6287,237,tree_cheaper,tree,18446744073709551615,34927197696,37492480,18446744038782353919,528148413.146095,200,200,115,595,931.579
cost-order-settling,shader,shader_metaballs,256x256,5000,200000,62,52,2584,286,tree_cheaper,tree,17139200,17139200,6954240,0,0.000000,,,45,135,2.465
dfs-post-order,shader,shader_metaballs,256x256,5000,200000,62,52,2584,286,shared,dag,1048576,17925632,8264960,-7216384,-0.873130,2,25,50,155,2.169
cost-order-settling,shader,shader_metaballs,256x256,20000,800000,62,52,13429,1870,tree_cheaper,tree,17139200,17139200,6954240,0,0.000000,,,45,135,2.465
dfs-post-order,shader,shader_metaballs,256x256,20000,800000,62,52,13429,1870,tree_cheaper,tree,4611686018427387903,17204736,7019776,4611686018410183167,268047473579.959808,119,99,45,136,2.451
cost-order-settling,shader,shader_metaballs,256x256,50000,2000000,62,52,33876,4530,tree_cheaper,tree,17139200,17139200,6954240,0,0.000000,,,45,135,2.465
dfs-post-order,shader,shader_metaballs,256x256,50000,2000000,62,52,33876,4530,tree_cheaper,tree,4611686018427387903,22655488,9530880,4611686018404732415,203557125690.902466,1050,924,75,255,2.377
cost-order-settling,shader,shader_plasma,256x256,5000,200000,37,35,3439,591,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,,,29,359,1.069
dfs-post-order,shader,shader_plasma,256x256,5000,200000,37,35,3439,591,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,0,0,29,359,1.069
cost-order-settling,shader,shader_plasma,256x256,20000,800000,37,35,12661,1319,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,,,29,359,1.069
dfs-post-order,shader,shader_plasma,256x256,20000,800000,37,35,12661,1319,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,0,0,29,359,1.069
cost-order-settling,shader,shader_plasma,256x256,50000,2000000,37,35,29370,2197,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,,,29,359,1.069
dfs-post-order,shader,shader_plasma,256x256,50000,2000000,37,35,29370,2197,tree_cheaper,tree,18444800,18444800,17260544,0,0.000000,0,0,29,359,1.069
cost-order-settling,shader,shader_smooth_min_scene,256x256,5000,200000,43,40,2609,234,tree_cheaper,tree,20282901,20282901,6099989,0,0.000000,,,37,134,3.325
dfs-post-order,shader,shader_smooth_min_scene,256x256,5000,200000,43,40,2609,234,tree_cheaper,tree,4611686018433624575,21724672,7345152,4611686018411899903,212278740890.168549,28,28,39,132,2.958
cost-order-settling,shader,shader_smooth_min_scene,256x256,20000,800000,43,40,6973,423,tree_cheaper,tree,20282901,20282901,6099989,0,0.000000,,,37,134,3.325
dfs-post-order,shader,shader_smooth_min_scene,256x256,20000,800000,43,40,6973,423,tree_cheaper,tree,21003776,21003776,7345152,0,0.000000,67,64,39,132,2.860
cost-order-settling,shader,shader_smooth_min_scene,256x256,50000,2000000,43,40,15437,639,tree_cheaper,tree,20282901,20282901,6099989,0,0.000000,,,37,134,3.325
dfs-post-order,shader,shader_smooth_min_scene,256x256,50000,2000000,43,40,15437,639,shared,dag,4527129,21593674,6755349,-2228220,-0.329845,18,50,39,144,3.197
cost-order-settling,shader,shader_smoothstep_vignette,256x256,5000,200000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,,,49,194,3.737
dfs-post-order,shader,shader_smoothstep_vignette,256x256,5000,200000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,0,0,49,194,3.737
cost-order-settling,shader,shader_smoothstep_vignette,256x256,20000,800000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,,,49,194,3.737
dfs-post-order,shader,shader_smoothstep_vignette,256x256,20000,800000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,0,0,49,194,3.737
cost-order-settling,shader,shader_smoothstep_vignette,256x256,50000,2000000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,,,49,194,3.737
dfs-post-order,shader,shader_smoothstep_vignette,256x256,50000,2000000,64,50,283,82,tree_cheaper,tree,29399629,29399629,7867199,0,0.000000,0,0,49,194,3.737
cost-order-settling,shader,shader_star_sdf,256x256,5000,200000,66,58,3878,638,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,,,58,172,10.914
dfs-post-order,shader,shader_star_sdf,256x256,5000,200000,66,58,3878,638,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,0,0,58,172,10.914
cost-order-settling,shader,shader_star_sdf,256x256,20000,800000,66,58,13888,2050,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,,,58,172,10.914
dfs-post-order,shader,shader_star_sdf,256x256,20000,800000,66,58,13888,2050,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,0,0,58,172,10.914
cost-order-settling,shader,shader_star_sdf,256x256,50000,2000000,66,58,36782,4760,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,,,58,172,10.914
dfs-post-order,shader,shader_star_sdf,256x256,50000,2000000,66,58,36782,4760,tree_cheaper,tree,115184128,115184128,10554112,0,0.000000,0,0,58,172,10.914
cost-order-settling,shader,shader_torus_slice,256x256,5000,200000,38,34,2750,205,tree_cheaper,tree,12788252,12788252,6884110,0,0.000000,,,32,130,1.858
dfs-post-order,shader,shader_torus_slice,256x256,5000,200000,38,34,2750,205,shared,dag,6884110,12788260,6884110,0,0.000000,0,0,31,130,1.858
cost-order-settling,shader,shader_torus_slice,256x256,20000,800000,38,34,3005,198,tree_cheaper,tree,12788252,12788252,6884110,0,0.000000,,,32,130,1.858
dfs-post-order,shader,shader_torus_slice,256x256,20000,800000,38,34,3005,198,shared,dag,6884110,12788260,6884110,0,0.000000,0,0,31,130,1.858
cost-order-settling,shader,shader_torus_slice,256x256,50000,2000000,38,34,3005,198,tree_cheaper,tree,12788252,12788252,6884110,0,0.000000,,,32,130,1.858
dfs-post-order,shader,shader_torus_slice,256x256,50000,2000000,38,34,3005,198,shared,dag,6884110,12788260,6884110,0,0.000000,0,0,31,130,1.858
