kernel,family,b_lo,b_hi,live_lo,live_hi,objective_witness,objective_greedy,delta_objective,dag_witness,dag_greedy,delta_dag,occupied,merges,divergences,frontier,best_single_swap,greedy_swaps,swaps_accepted,witness_kind,realizable,first_class,first_label,first_stage,first_rule
psychedelic_packed,psychedelic,5000,10000,111,110,742644909,742650305,-5396,821,822,-1,111,0,1,1,742644909,742644909,1,objective,REALIZABLE-1,1266,DISTRACTOR,dp,reverse-associative(Add)
psychedelic_packed,psychedelic,5000,100000,111,110,742644909,742650308,-5399,821,825,-4,111,0,2,2,742644908,742644908,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,5000,20000,111,110,742644909,742650308,-5399,821,825,-4,111,0,2,2,742644908,742644908,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
psychedelic_packed,psychedelic,5000,50000,111,110,742644909,742650308,-5399,821,825,-4,111,0,2,2,742644908,742644908,1,objective,REALIZABLE-1,110,COORDINATED,dp,constant-fold
shader_cosine_palette,shader,5000,10000,25,37,18418432,15010860,3407572,292,540,-248,25,0,1,1,15010860,15010860,0,static-only,n/a (static-only),33,COORDINATED,min-of-two,associative(Add)
shader_cosine_palette,shader,5000,100000,25,33,18418432,14158886,4259546,292,521,-229,25,0,1,1,14158886,14158886,0,static-only,n/a (static-only),33,COORDINATED,min-of-two,reverse-associative(Add)
shader_cosine_palette,shader,5000,20000,25,37,18418432,14945324,3473108,292,539,-247,25,0,1,1,14945324,14945324,0,static-only,n/a (static-only),33,COORDINATED,min-of-two,associative(Add)
shader_cosine_palette,shader,5000,50000,25,33,18418432,14158886,4259546,292,521,-229,25,0,1,1,14158886,14158886,0,static-only,n/a (static-only),33,COORDINATED,min-of-two,fma-fusion
shader_domain_warp_fbm,shader,5000,10000,58,58,26813184,26419976,393208,444,446,-2,58,0,3,2,26419976,26419976,0,static-only,n/a (static-only),995,COORDINATED,dp,fma-fusion
shader_julia_set,shader,10000,100000,106,107,39788800,40051968,-263168,640,648,-8,106,0,19,2,40051200,40050944,2,objective,PARTIAL,205,TIE,dp,distribute
shader_julia_set,shader,20000,100000,102,107,38740480,40051968,-1311488,625,648,-23,102,0,5,1,40051200,40051200,1,objective,PARTIAL,205,TIE,dp,distribute
shader_julia_set,shader,5000,100000,106,107,39788800,40051968,-263168,640,648,-8,106,0,19,2,40051200,40050944,2,objective,PARTIAL,205,TIE,dp,distribute
shader_julia_set,shader,50000,100000,102,107,38740480,40051968,-1311488,625,648,-23,102,0,5,1,40051200,40051200,1,objective,PARTIAL,205,TIE,dp,distribute
