crate	file	line	name	verb	coordinate_tokens	qualifier_tokens
pixelflow-ir	pixelflow-ir/src/backend/scalar.rs	111	simd_sqrt		simd sqrt	
pixelflow-ir	pixelflow-ir/src/backend/mod.rs	105	simd_sqrt		simd sqrt	
pixelflow-ir	pixelflow-ir/src/backend/arm.rs	195	simd_sqrt		simd sqrt	
pixelflow-ir	pixelflow-ir/src/backend/emit/executable.rs	333	toggle_jit_write		jit write	
pixelflow-ir	pixelflow-ir/src/backend/emit/mod.rs	298	with_max_regs		with max	with
pixelflow-pipeline	pixelflow-pipeline/src/bin/gen_bench_corpus.rs	261	arena_structural_key		arena key	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	1030	backward_expr_proj_and_backbone	backward	expr and	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	1109	backward_graph_proj_and_backbone	backward	graph and	
pixelflow-pipeline	pixelflow-pipeline/src/jit_bench.rs	337	benchmark_jit_arena		jit arena	
pixelflow-pipeline	pixelflow-pipeline/src/jit_bench.rs	347	benchmark_jit_arena_repeated		jit arena	
pixelflow-pipeline	pixelflow-pipeline/src/bin/bench_hoisted_scanline.rs	40	build_psychedelic_arena	build	psychedelic arena	
pixelflow-pipeline	pixelflow-pipeline/src/training/self_play.rs	136	build_rule_templates	build	rule templates	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	699	clip_stats		clip stats	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	1182	compute_d_acc_input_policy	compute	input policy	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	1293	compute_d_acc_input_value	compute	input value	
pixelflow-pipeline	pixelflow-pipeline/examples/critical_path_test.rs	30	deep_sqrt_chain		sqrt chain	deep
pixelflow-pipeline	pixelflow-pipeline/src/bin/train_unified.rs	2005	default_max_trajectory_files		max trajectory	default
pixelflow-pipeline	pixelflow-pipeline/src/bin/train_unified.rs	1987	default_mini_batch_size		batch size	default batch
pixelflow-pipeline	pixelflow-pipeline/examples/egraph_choices.rs	84	div_sqrt		div sqrt	
pixelflow-pipeline	pixelflow-pipeline/examples/egraph_choices.rs	90	fast_rsqrt		fast rsqrt	fast
pixelflow-pipeline	pixelflow-pipeline/src/bin/train_unified.rs	563	final_model_path		model path	
pixelflow-pipeline	pixelflow-pipeline/src/training/self_play.rs	610	generate_trajectory_batch	generate	trajectory batch	batch
pixelflow-pipeline	pixelflow-pipeline/src/training/self_play.rs	633	generate_trajectory_batch_parallel	generate	trajectory batch	batch parallel
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	1463	group_clip_scale		clip scale	
pixelflow-pipeline	pixelflow-pipeline/examples/egraph_choices.rs	46	mul_recip		mul recip	
pixelflow-pipeline	pixelflow-pipeline/examples/egraph_choices.rs	70	mul_then_add		mul add	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	621	norm_policy_head		policy head	
pixelflow-pipeline	pixelflow-pipeline/src/training/unified_backward.rs	603	norm_value_head		value head	
pixelflow-pipeline	pixelflow-pipeline/src/training/self_play.rs	1002	read_advantages_binary	read	advantages binary	
pixelflow-pipeline	pixelflow-pipeline/src/training/factored.rs	366	reduce_binary_ops	reduce	binary ops	
pixelflow-pipeline	pixelflow-pipeline/examples/egraph_choices.rs	55	sqrt_squared		sqrt squared	
pixelflow-pipeline	pixelflow-pipeline/examples/critical_path_test.rs	18	wide_sqrt_sum		sqrt sum	wide
pixelflow-runtime	pixelflow-runtime/examples/animated_sphere.rs	119	build_scene_at_time	build	scene time	
pixelflow-runtime	pixelflow-runtime/src/platform/macos/cocoa.rs	236	content_view		content view	
pixelflow-runtime	pixelflow-runtime/src/engine_troupe.rs	702	convert_mouse_button	convert	mouse button	
pixelflow-runtime	pixelflow-runtime/src/api/private.rs	135	create_engine_actor	create	engine actor	
pixelflow-runtime	pixelflow-runtime/src/frame.rs	105	create_frame_channel	create	frame channel	
pixelflow-runtime	pixelflow-runtime/build.rs	49	determine_display_driver		display driver	
pixelflow-runtime	pixelflow-runtime/src/engine_troupe.rs	815	engine_handle		engine handle	
pixelflow-runtime	pixelflow-runtime/src/display/drivers/web/mod.rs	158	event_loop		event loop	
pixelflow-runtime	pixelflow-runtime/src/engine_troupe.rs	384	handle_app_data	handle	app data	
pixelflow-runtime	pixelflow-runtime/src/engine_troupe.rs	470	handle_driver_event	handle	driver event	
pixelflow-runtime	pixelflow-runtime/src/platform/linux/events.rs	95	handle_selection_request	handle	selection request	
pixelflow-runtime	pixelflow-runtime/src/platform/macos/cocoa.rs	262	init_with_frame	init	with frame	with
pixelflow-runtime	pixelflow-runtime/src/platform/macos/cocoa.rs	314	key_code		key code	
pixelflow-runtime	pixelflow-runtime/src/platform/macos/objc.rs	198	msg_send_bool		send bool	
pixelflow-runtime	pixelflow-runtime/src/platform/linux/window.rs	162	query_scale_factor		scale factor	
pixelflow-runtime	pixelflow-runtime/src/vsync_actor.rs	45	return_vsync_token		vsync token	
pixelflow-runtime	pixelflow-runtime/src/display/drivers/headless.rs	75	run_event_loop	run	event loop	
pixelflow-runtime	pixelflow-runtime/src/display/drivers/web/mod.rs	94	run_event_loop	run	event loop	
pixelflow-runtime	pixelflow-runtime/src/platform/macos/window.rs	105	scale_factor		scale factor	
pixelflow-runtime	pixelflow-runtime/src/platform/macos/cocoa.rs	220	set_content_view	set	content view	
pixelflow-runtime	pixelflow-runtime/src/platform/linux/platform.rs	36	set_shared_waker	set	shared waker	
pixelflow-runtime	pixelflow-runtime/src/vsync_actor.rs	159	spawn_clock_thread	spawn	clock thread	
pixelflow-runtime	pixelflow-runtime/src/frame.rs	81	try_submit_frame		try frame	
pixelflow-runtime	pixelflow-runtime/src/engine_troupe.rs	757	with_config		with config	with
pixelflow-search	pixelflow-search/src/egraph/saturate.rs	189	achievable_cost_within_budget		cost budget	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	817	add_edge_with_pe	add	edge with	with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	1135	add_var_ref_edges	add	var ref	ref
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1054	apply_rule_at_index	apply	rule index	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1061	apply_rule_at_index_budgeted	apply	rule index	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1071	apply_rule_at_index_timed	apply	rule index	
pixelflow-search	pixelflow-search/src/egraph/saturate.rs	153	apply_rules_counted_with_limits	apply	counted with	with
pixelflow-search	pixelflow-search/src/egraph/graph.rs	201	batch_with_chunk		batch with	batch with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2658	bernoulli_policy_from_accumulator		policy accumulator	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	3185	bilinear_forward_with_hidden		forward with	with
pixelflow-search	pixelflow-search/src/egraph/extract.rs	691	build_extracted_dag_from_choices	build	extracted dag	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	127	canonicalize_node		canonicalize node	
pixelflow-search	pixelflow-search/src/egraph/mod.rs	94	collect_rule_templates		rule templates	
pixelflow-search	pixelflow-search/src/egraph/deps.rs	162	compute_class_deps	compute	class deps	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2297	compute_mask_features	compute	mask features	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	643	const_cos		const cos	const
pixelflow-search	pixelflow-search/src/nnue/factored.rs	603	const_exp		const exp	const
pixelflow-search	pixelflow-search/src/nnue/factored.rs	617	const_sin		const sin	const
pixelflow-search	pixelflow-search/src/egraph/cost.rs	63	cost_by_kind		cost kind	
pixelflow-search	pixelflow-search/src/egraph/cost.rs	331	cost_by_kind		cost kind	
pixelflow-search	pixelflow-search/src/egraph/codegen.rs	178	emit_op_with_args	emit	with args	with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2428	encode_rule_from_arena	encode	rule arena	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1760	extract_dag_with_costs	extract	dag with	with
pixelflow-search	pixelflow-search/src/egraph/graph.rs	1728	extract_expr_with_costs	extract	expr with	with
pixelflow-search	pixelflow-search/src/traits.rs	37	feature_space_size		feature size	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2116	forward_expr_only	forward	expr only	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	363	from_rule_templates		rule templates	
pixelflow-search	pixelflow-search/src/nnue/mod.rs	605	generate_leaf_arena	generate	leaf arena	
pixelflow-search	pixelflow-search/src/nnue/mod.rs	625	guard_nonnegative_arena		guard arena	
pixelflow-search	pixelflow-search/src/nnue/mod.rs	617	guard_positive_nonzero_arena		guard arena	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	274	has_root_op		has root	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	268	has_templates		has templates	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	459	init_with_latency_prior	init	with latency	with
pixelflow-search	pixelflow-search/src/math/algebra.rs	942	inverse_pair_rules		inverse pair	
pixelflow-search	pixelflow-search/src/math/trig.rs	276	match_pythagorean_pair	match	pythagorean pair	
pixelflow-search	pixelflow-search/src/math/trig.rs	583	match_sin_cos_same_arg	match	sin cos	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	452	new_with_latency_prior		with latency	new with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	1682	new_with_latency_prior		with latency	new with
pixelflow-search	pixelflow-search/src/egraph/cost.rs	60	node_cost		node cost	
pixelflow-search	pixelflow-search/src/egraph/cost.rs	327	node_cost		node cost	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	296	node_count		node count	
pixelflow-search	pixelflow-search/src/egraph/graph.rs	2145	node_count		node count	
pixelflow-search	pixelflow-search/src/egraph/deps.rs	178	node_deps		node deps	
pixelflow-search	pixelflow-search/src/egraph/cost.rs	146	node_op_cost		node cost	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	549	param_count		param count	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2507	param_count		param count	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2611	policy_from_accumulator		policy accumulator	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2629	policy_from_features		policy features	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2560	predict_cost_from_accumulator		cost accumulator	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2584	predict_cost_from_features		cost features	
pixelflow-search	pixelflow-search/src/nnue/mod.rs	1128	push_arena_node	push	arena node	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	1929	randomize_mask_only		mask only	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	1748	randomize_weights_only		weights only	
pixelflow-search	pixelflow-search/src/nnue/mod.rs	1086	remap_node		remap node	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	869	remove_edge_with_pe	remove	edge with	with
pixelflow-search	pixelflow-search/src/nnue/factored.rs	1148	remove_var_ref_edges	remove	var ref	ref
pixelflow-search	pixelflow-search/src/nnue/factored.rs	283	root_op_set		root set	
pixelflow-search	pixelflow-search/src/egraph/saturate.rs	91	saturate_with_budget		with budget	with
pixelflow-search	pixelflow-search/src/nnue/mod.rs	315	substitute_template_arena		template arena	
pixelflow-search	pixelflow-search/src/nnue/factored.rs	2327	value_mlp_forward		value forward	
pixelflow-search	pixelflow-search/src/egraph/deps.rs	43	var_deps		var deps	
pixelflow-search	pixelflow-search/src/egraph/deps.rs	32	var_variance		var variance	
xtask	xtask/src/main.rs	42	find_workspace_root	find	workspace root	
xtask	xtask/src/main.rs	376	format_f32_array	format	f32 array	
